name,platform,r-date,score,user score,developer,genre,players,critics,users,Goty,year
Call of Duty 3,Xbox,"November 7, 2006",83,7.5,Treyarch,"Action,Shooter,First-Person,Historic",16  Online,12,20,0,2006
UFC Undisputed 2009,Xbox360,"May 19, 2009",83,7.9,Yuke's,"Action,Sports,Fighting,Fighting,Individual,Wrestling,Combat,Wrestling",2  Online,68,55,0,2009
Fable: The Lost Chapters,Xbox,"October 18, 2005",83,8.6,LionheadStudios,"Role-Playing,Action RPG",1 Player,27,72,0,2005
NBA 2K19,XboxOne,"September 7, 2018",83,2.8,VisualConcepts,"Sports,Team,Basketball,Arcade,Sim",Up to 10,18,106,0,2018
Terraria,PC,"May 16, 2011",83,8.7,Re-Logic,"Action,Action Adventure,Platformer,Platformer,Sandbox,2D,2D",Up to 8,29,2137,0,2011
Madden NFL 09,Xbox360,"August 12, 2008",83,6.9,EATiburon,"Sports,Traditional,Team,Football,Sim,Sim",4  Online,50,128,0,2008
Destiny 2,PC,"October 24, 2017",83,4.2,"BungieSoftware,Bungie","Action,Shooter,First-Person,Arcade",Up to 16,36,1466,0,2017
Final Fantasy XIV Online: A Realm Reborn,PC,"August 27, 2013",83,7.2,SquareEnix,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy",Massively Multiplayer,32,1506,0,2013
MLB 06: The Show,PlayStation2,"February 28, 2006",83,8.6,SCEASanDiegoStudios,"Sports,Traditional,Baseball,Sim",2  Online,30,32,0,2006
Magic: Duels of the Planeswalkers 2014,Xbox360,"June 26, 2013",83,5.5,StainlessGames,"Strategy,Miscellaneous,Turn-Based,Card Battle,Card Battle",No info,19,24,0,2013
Card Hunter (2013),PC,"September 12, 2013",83,7.7,BlueManchu,"Strategy,General",No info,18,62,0,2013
Sam & Max: The Devil's Playhouse - Episode 2: The Tomb of Sammun-Mak,PC,"May 18, 2010",83,7.5,TelltaleGames,"Miscellaneous,Adventure,General,3D,Compilation,Third-Person",No Online Multiplayer,24,25,0,2010
Madden NFL 17,XboxOne,"August 23, 2016",83,5.4,EASports,"Sports,Team,Football,Sim",2,30,59,0,2016
Just Cause 2,PlayStation3,"March 23, 2010",83,8,AvalancheStudios,"Action Adventure,Modern,Modern,Open-World",No info,66,327,0,2010
Picross DS,DS,"July 30, 2007",83,8,JupiterCorporation,"Miscellaneous,Puzzle,Puzzle,Puzzle,Logic,Logic",5  Online,33,40,0,2007
Fight Night Round 3,PlayStation3,"December 5, 2006",83,7.9,EAChicago,"Sports,Traditional,Individual,Boxing,Boxing,Combat,Boxing / Martial Arts",2  Online,37,29,0,2006
Spider-Man 2,Xbox,"June 28, 2004",83,8.3,Treyarch,"Action Adventure,Sci-Fi",1 Player,60,48,0,2004
Spiritfarer,Switch,"August 18, 2020",83,8.1,ThunderLotusGames,"Action Adventure,Sandbox",2,15,38,0,2020
Knights and Bikes,Switch,"February 6, 2020",83,8.3,FoamSwordGames,"Action Adventure,General",No Online Multiplayer,7,11,0,2020
Shovel Knight: King of Cards,Switch,"December 10, 2019",83,7.9,YachtClubGames,"Action,Platformer,2D",No Online Multiplayer,19,26,0,2019
Battle Chef Brigade,PlayStation4,"August 28, 2018",83,tbd,TrinketStudios,"Action,Beat-'Em-Up,2D",No Online Multiplayer,8,0,0,2018
The Banner Saga 3,Switch,"July 26, 2018",83,8.3,Stoic,"Strategy,Turn-Based,Tactics",No Online Multiplayer,9,27,0,2018
Steins;Gate,PlayStation3,"June 5, 2015",83,8.6,Nitro+,"Adventure,General,Visual Novel",No Online Multiplayer,8,74,0,2015
SteamWorld Dig,XboxOne,"June 5, 2015",83,7.8,Image&Form,"Action,Action Adventure,General,Platformer,2D",No info,8,19,0,2015
Oddworld: Stranger's Wrath HD,PlayStationVita,"December 18, 2012",83,8.1,JustAddWater,"Action Adventure,Fantasy,General,Fantasy",No info,9,80,0,2012
NHL 13,Xbox360,"September 11, 2012",83,6.6,ElectronicArts,"Sports,Traditional,Team,Ice Hockey,Sim,Sim",No info,44,87,0,2012
Madden NFL 13,PlayStation3,"August 28, 2012",83,5.5,EATiburon,"Sports,Traditional,Team,Football,Sim,Sim",Up to 4,22,105,0,2012
Fallout: New Vegas - Old World Blues,Xbox360,"July 19, 2011",83,8.2,ObsidianEntertainment,"Role-Playing,First-Person,First-Person,Western-Style",No info,19,101,0,2011
Darksiders,PC,"September 23, 2010",83,7.7,VigilGames,"Action Adventure,Modern,Fantasy,Modern,Open-World",No Online Multiplayer,18,777,0,2010
Clubhouse Games,DS,"October 9, 2006",83,7.8,Agenda,"Miscellaneous,Board Games,Board Games,Board / Card Game,Party / Minigame",Up to 8,30,31,0,2006
Super Puzzle Fighter II,GameBoyAdvance,"March 31, 2003",83,tbd,AtomicPlanetEntertainment,"Miscellaneous,Puzzle,Matching",1-2,22,0,0,2003
Tom Clancy's Rainbow Six 3: Raven Shield,PC,"March 19, 2003",83,8.7,UbisoftMontreal,"Action,Shooter,Shooter,First-Person,Tactical,Modern,Modern",1-16,29,93,0,2003
Xenosaga Episode I: Der Wille zur Macht,PlayStation2,"February 26, 2003",83,8.7,MonolithSoft,"Role-Playing,Console-style RPG",1 Player,35,127,0,2003
World of Outlaws: Sprint Cars,PC,"February 11, 2003",83,7.2,Ratbag,"Driving,Racing,Simulation,Arcade,Stock Car,Other,Automobile",1-10,10,10,0,2003
Street Fighter Alpha 3,GameBoyAdvance,"December 1, 2002",83,8.2,CrawfishInteractive,"Action,Fighting,2D",1-2,17,16,0,2002
Colin McRae Rally 2.0,PC,"February 13, 2001",83,8.6,Codemasters,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile",1-8,14,100,0,2001
Combat Flight Simulator 2: WWII Pacific Theater,PC,"October 13, 2000",83,7,MicrosoftGameStudios,"Simulation,Flight,WWII,WWII,Combat",1-16,22,9,0,2000
Resistance 3,PlayStation3,"September 6, 2011",83,7.8,InsomniacGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Modern,Sci-Fi,Arcade",Up to 16,91,635,0,2011
Orcs Must Die! 2,PC,"July 30, 2012",83,7.9,RobotEntertainment,"Action,Strategy,General,Real-Time,General,Defense",No info,43,535,0,2012
Metro Redux,PlayStation4,"August 26, 2014",83,8,4AGames,"Action,Miscellaneous,Shooter,Compilation,First-Person,Sci-Fi",No Online Multiplayer,30,759,0,2014
Octopath Traveler,Switch,"July 12, 2018",83,8.5,"SquareEnix,Acquire","General,Role-Playing,Japanese-Style",No Online Multiplayer,79,1138,0,2018
BYE-BYE BOXBOY!,3DS,"April 12, 2017",83,7.9,HALLabs,"Puzzle,Action",No info,23,28,0,2017
Ratchet & Clank Collection,PlayStation3,"August 28, 2012",83,8.4,"IdolMinds,InsomniacGames","Action,Platformer,3D,Miscellaneous,Compilation,Compilation",Up to 12,40,250,0,2012
Hitman,PC,"October 31, 2016",83,7.5,IoInteractive,"Modern,Action Adventure,General",No Online Multiplayer,20,304,0,2016
Picross 3D,DS,"May 3, 2010",83,8.1,HALLabs,"Miscellaneous,Puzzle,Puzzle,Puzzle,Logic,Logic",1 Player,35,40,0,2010
Gunstar Super Heroes,GameBoyAdvance,"October 25, 2005",83,7.8,Treasure,"Action,Shooter,Scrolling",1 Player,31,16,0,2005
Madden NFL 07,Xbox,"August 22, 2006",83,7.4,EATiburon,"Sports,Traditional,Football,Sim",1-4,27,7,0,2006
Stretchmo,3DS,"May 14, 2015",83,7.9,IntelligentSystems,"Puzzle,Action",No info,13,26,0,2015
The Misadventures of P.B. Winterbottom,Xbox360,"February 17, 2010",83,7.5,TheOddGentlemen,"Miscellaneous,Puzzle,Puzzle,General,Puzzle,General",No info,50,239,0,2010
Mega Man Zero / ZX Legacy Collection,Switch,"February 25, 2020",83,8.5,Capcom,"Miscellaneous,Compilation",No Online Multiplayer,27,104,0,2020
The Swapper,PlayStation4,"August 5, 2014",83,7.6,FacepalmGames,"Action,Platformer,2D",No info,28,214,0,2014
Mighty Flip Champs!,DS,"June 1, 2009",83,7.7,WayForward,"Puzzle,Action,General,General",1 Player,9,9,0,2009
Persona 2: Eternal Punishment,PlayStation,"December 22, 2000",83,4.4,AtlusCo.,"Role-Playing,Console-style RPG",1 Player,11,229,0,2000
Prey (2006),PC,"July 11, 2006",83,7.9,HumanHeadStudios,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",8  Online,51,426,0,2006
LEGO Marvel Super Heroes,PlayStation4,"November 15, 2013",83,7.7,TTGames,"Action Adventure,Fantasy,General,Fantasy,Open-World",No Online Multiplayer,22,352,0,2013
Metal Gear Rising: Revengeance,PC,"January 9, 2014",83,8,PlatinumGames,"Action,Action Adventure,Shooter,General,Modern,Third-Person,Tactical,Modern",No Online Multiplayer,27,825,0,2014
Tony Hawk's Underground 2,Xbox,"October 4, 2004",83,7.9,NeversoftEntertainment,"Sports,Alternative,Skateboarding",1-2,55,15,0,2004
Castlevania: Lords of Shadow,Xbox360,"October 5, 2010",83,7.9,MercurySteam,"Action Adventure,Fantasy,General,Fantasy",No Online Multiplayer,70,271,0,2010
Sine Mora,PlayStation3,"November 20, 2012",83,7.4,"DigitalReality,GrasshopperManufacture","Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-'Em-Up,Vertical,Horizontal",No info,9,20,0,2012
Tales of Monkey Island Chapter 5: Rise of the Pirate God,Wii,"February 1, 2010",83,7.7,TelltaleGames,"Adventure,General,3D,Fantasy,Third-Person,Fantasy",1 Player,7,6,0,2010
Crisis Core: Final Fantasy VII,PSP,"March 24, 2008",83,8.6,SquareEnix,"Role-Playing,Action RPG,Action RPG",No Online Multiplayer,67,718,0,2008
Starseed Pilgrim,PC,"April 16, 2013",83,6.2,Droqen,"Simulation,General,General",No info,12,37,0,2013
Age of Conan: Rise of the Godslayer,PC,"May 11, 2010",83,7.6,Funcom,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy",No info,14,60,0,2010
Trine,PlayStation3,"October 22, 2009",83,7.8,"Frozenbyte,Inc.","Action,Action Adventure,Fantasy,General,Platformer,Fantasy,2D",1-3,24,74,0,2009
Darksiders,Xbox360,"January 5, 2010",83,7.9,VigilGames,"Action Adventure,Sci-Fi,Modern,Open-World",No Online Multiplayer,81,339,0,2010
MLB 08: The Show,PSP,"March 4, 2008",83,7.8,SCEASanDiegoStudios,"Sports,Traditional,Team,Baseball,Sim,Sim",2  Online,14,13,0,2008
Alan Wake,PC,"February 16, 2012",83,8,RemedyEntertainment,"Action Adventure,Modern,Horror,Horror,Survival",No Online Multiplayer,30,1892,0,2012
OlliOlli: Switch Stance,Switch,"February 14, 2019",83,7.9,Gambitious,"Miscellaneous,Compilation",No Online Multiplayer,18,9,0,2019
Titanfall,Xbox360,"April 8, 2014",83,6,BluepointGames,"Shooter,Sci-Fi,Miscellaneous,General,Action,Shooter,First-Person,Sci-Fi,Arcade",Up to 12,21,391,0,2014
Karaoke Revolution,PlayStation2,"October 24, 2003",83,8.7,HarmonixMusicSystems,"Miscellaneous,Rhythm,Music",1-8,29,18,0,2003
Hitman 2: Silent Assassin,GameCube,"June 19, 2003",83,6.1,IoInteractive,"Action Adventure,Modern",1 Player,17,12,0,2003
NBA Live 2003,PlayStation2,"October 8, 2002",83,8.4,EACanada,"Sports,Traditional,Basketball,Sim",1-2,22,26,0,2002
Tiger Woods PGA Tour 2002,PC,"February 24, 2002",83,5.8,Headgate,"Sports,Traditional,Individual,Golf,Sim,Sim",1-8,9,6,0,2002
Monaco: What's Yours Is Mine,PC,"April 24, 2013",83,7.7,PocketwatchGames,"Adventure,General,General",1-4,47,221,0,2013
Indigo Prophecy,PlayStation2,"September 26, 2005",83,8.1,QuanticDream,"Adventure,Third-Person,Modern",1 Player,47,143,0,2005
Deus Ex: Mankind Divided,XboxOne,"August 23, 2016",83,7.5,EidosMontreal,"Action Adventure,General",No Online Multiplayer,18,251,0,2016
Trials Rising,PC,"February 26, 2019",83,4.7,RedLynx,"Racing,Arcade,Automobile",Up to 8,13,52,0,2019
Castle Crashers Remastered,XboxOne,"September 9, 2015",83,7.8,TheBehemoth,"Action,Beat-'Em-Up,2D",No info,16,48,0,2015
Transistor,PC,"May 20, 2014",83,8.4,SupergiantGames,"Role-Playing,Action RPG,Action RPG",No Online Multiplayer,35,838,0,2014
Pac-Man Championship Edition,Xbox360,"June 6, 2007",83,8.5,NamcoBandaiGames,"Action,General,General,Arcade",1 Player,34,34,0,2007
Prince of Persia: Warrior Within,GameCube,"November 30, 2004",83,8,Ubisoft,"Action Adventure,Fantasy",1 Player,31,29,0,2004
Moonlighter,Switch,"November 5, 2018",83,8.1,"11bitstudios,DigitalSun","Role-Playing,Action RPG",No Online Multiplayer,23,95,0,2018
Mutant Mudds: Super Challenge,WiiU,"March 17, 2016",83,6.9,RenegadeKid,"Action,Platformer,2D",No info,7,21,0,2016
Child of Light,PlayStationVita,"July 1, 2014",83,7.9,UbisoftMontreal,"Role-Playing,General",2,15,125,0,2014
Rogue Galaxy,PlayStation2,"January 30, 2007",83,8,Level5,"Role-Playing,Action RPG",1 Player,59,127,0,2007
inFamous 2,PlayStation3,"June 7, 2011",83,8.6,SuckerPunch,"Action Adventure,Sci-Fi,Sci-Fi,Open-World",No Online Multiplayer,90,1190,0,2011
Nintendogs: Chihuahua & Friends,DS,"August 22, 2005",83,8,Nintendo,"Simulation,Miscellaneous,Virtual Life,Virtual Life,Virtual,Pet",1 Player,55,82,0,2005
Tekken Tag Tournament 2,Xbox360,"September 11, 2012",83,7.7,NamcoBandaiGames,"Action,Fighting,Fighting,3D,3D",Up to 6,35,105,0,2012
No Man's Sky Beyond,PlayStation4,"August 14, 2019",83,8.2,HelloGames,"Action Adventure,Open-World",Online Multiplayer,9,143,0,2019
Yakuza 5,PlayStation3,"December 8, 2015",83,8.6,RyugaGotokuStudios,"Modern,Action Adventure,Open-World",No Online Multiplayer,34,251,0,2015
DiRT,PlayStation3,"September 11, 2007",83,8,Codemasters,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile",8  Online,32,38,0,2007
FIFA Soccer 08,PlayStation2,"October 9, 2007",83,6.9,EACanada,"Sports,Traditional,Soccer,Sim",4  Online,12,46,0,2007
Creaks,PlayStation4,"July 22, 2020",83,6.8,AmanitaDesign,"Adventure,General",No Online Multiplayer,7,8,0,2020
Zero Escape: Zero Time Dilemma,PlayStationVita,"June 28, 2016",83,8.2,"SpikeChunsoft,Chime","Adventure,Visual Novel",No Online Multiplayer,31,138,0,2016
Outland,PlayStation3,"June 14, 2011",83,7.8,Housemarque,"Action,Platformer,Platformer,3D,2D",No info,28,72,0,2011
Skylanders Swap Force,PlayStation3,"October 13, 2013",83,5.6,VicariousVisions,"Action,Platformer,Platformer,3D,3D",No Online Multiplayer,31,38,0,2013
GRIS,Switch,"December 13, 2018",83,8.7,NomadaStudio,"Action,Platformer,2D",No Online Multiplayer,43,278,0,2018
Call of Duty: Advanced Warfare,PlayStation4,"November 3, 2014",83,5.7,SledgehammerGames,"Action,Shooter,First-Person,Modern,Arcade",Up to 18,39,1643,0,2014
Super Mega Baseball 3,XboxOne,"May 13, 2020",83,6.6,MetalheadSoftware,"Sports,Team,Baseball,Arcade",Up to 4,12,10,0,2020
Sayonara Wild Hearts,PlayStation4,"September 19, 2019",83,6.4,Simogo,"Action,Rhythm,Music",No Online Multiplayer,16,42,0,2019
WarioWare: Smooth Moves,Wii,"January 15, 2007",83,7.5,IntelligentSystems,"Miscellaneous,Party,Party,Party / Minigame",No Online Multiplayer,61,208,0,2007
Tiger Woods PGA Tour 06,PlayStation2,"September 20, 2005",83,6.4,EASports,"Sports,Traditional,Golf,Sim",4  Online,29,17,0,2005
The Sexy Brutale,PC,"April 11, 2017",83,7.6,"TequilaWorks,CavalierGameStudios","Adventure,General",No Online Multiplayer,28,84,0,2017
MLB 14: The Show,PlayStation4,"May 6, 2014",83,7.6,SCEASanDiegoStudios,"Sports,Traditional,Team,Baseball,Sim,Sim",Up to 8,17,212,0,2014
Helldivers,PC,"December 7, 2015",83,6.9,ArrowheadGameStudios,"Action,Shooter,Third-Person,Shoot-'Em-Up,Arcade,Top-Down",Online Multiplayer,14,88,0,2015
Project CARS,PlayStation4,"May 12, 2015",83,6.6,SlightlyMadStudios,"Driving,Racing,Simulation,General,Automobile",Up to 16,37,430,0,2015
Worldwide Soccer Manager 2009,PC,"November 18, 2008",83,7.6,SportsInteractive,"Sports,Traditional,Team,Soccer,Management,Management",8  Online,29,33,0,2008
Call of Duty: World at War,PC,"November 10, 2008",83,7.6,Treyarch,"Action,Shooter,Shooter,First-Person,Historic,Historic,Arcade",No info,36,1013,0,2008
Torchlight,PC,"October 27, 2009",83,7.9,RunicGames,"Role-Playing,Action RPG,Action RPG",No Online Multiplayer,57,861,0,2009
FIFA 19,PlayStation4,"September 25, 2018",83,2,EASports,"Sports,Team,Soccer,Sim",Up to 22,67,1163,0,2018
Ape Out,PC,"February 28, 2019",83,6.9,GabeCuzzillo,"Action,Shooter,Shoot-'Em-Up,Top-Down",No Online Multiplayer,34,69,0,2019
Mortal Kombat X,PlayStation4,"April 14, 2015",83,7.8,"WarnerBros.InteractiveEntertainment,NetherRealmStudios","Action,Fighting,2D,3D",Up to 10,81,1058,0,2015
Valdis Story: Abyssal City,PC,"September 8, 2013",83,7.7,EndlessFluff,"Action,Platformer,Platformer,2D,2D",No info,7,85,0,2013
Art Style: PiCTOBiTS,DS,"May 18, 2009",83,7.6,Nintendo,"Miscellaneous,Puzzle,Puzzle,Puzzle,Matching,Matching",1 Player,9,12,0,2009
Sonic Advance 2,GameBoyAdvance,"March 9, 2003",83,8,DimpsCorporation,"Action,Platformer,2D",1-4,23,70,0,2003
Rayman 3,GameBoyAdvance,"March 2, 2003",83,7.4,Ubisoft,"Action,Platformer,2D",1-4,21,12,0,2003
NCAA College Basketball 2K3,PlayStation2,"December 2, 2002",83,8.2,KushGames,"Sports,Traditional,Basketball,Sim",1-10,17,5,0,2002
Steel Battalion,Xbox,"November 21, 2002",83,8.5,Capcom,"Simulation,Sci-Fi,Mech",1 Player,20,18,0,2002
XGIII: Extreme G Racing,GameCube,"November 27, 2001",83,7.8,Acclaim,"Driving,Racing,Futuristic",1-4,21,16,0,2001
FIFA 2001,PlayStation2,"November 24, 2000",83,7.3,EACanada,"Sports,Traditional,Soccer,Sim",1-8,18,17,0,2000
Crimson Skies,PC,"September 17, 2000",83,7.7,ZipperInteractive,"Simulation,Flight,Sci-Fi,Futuristic Jet,Futuristic Jet,Combat",1-8,32,23,0,2000
Professor Layton and the Last Specter,DS,"October 18, 2011",83,8.2,Level5,"Miscellaneous,Puzzle,Puzzle,General,Puzzle,General",No Online Multiplayer,58,75,0,2011
NBA 2K15,PlayStation4,"October 7, 2014",83,6.9,VisualConcepts,"Sports,Traditional,Team,Basketball,Sim",Up to 10,50,305,0,2014
Katana ZERO,PC,"April 18, 2019",83,8.9,Askiisoft,"Action,Platformer,2D",No Online Multiplayer,27,373,0,2019
Danganronpa 1-2 Reload,PlayStation4,"March 14, 2017",83,8.3,SpikeChunsoft,"Miscellaneous,Compilation",No Online Multiplayer,29,118,0,2017
LIMBO,Switch,"June 28, 2018",83,8.4,PLAYDEAD,"Action,Platformer,2D",No Online Multiplayer,27,48,0,2018
Nintendogs: Lab & Friends,DS,"August 22, 2005",83,7.7,Nintendo,"Simulation,Miscellaneous,Virtual Life,Virtual Life,Virtual,Pet",1 Player,54,117,0,2005
Xenoblade Chronicles 2,Switch,"December 1, 2017",83,8.7,MonolithSoft,"Role-Playing,Action RPG",No Online Multiplayer,92,1956,0,2017
Need for Speed Most Wanted,Xbox,"November 15, 2005",83,8.8,EACanada,"Driving,Racing,GT / Street",4  Online,32,40,0,2005
WRC 9 FIA World Rally Championship,XboxOne,"September 4, 2020",83,5.8,KTRacing,"Racing,Simulation,Automobile",Up to 8,12,11,0,2020
Madden NFL 16,PlayStation4,"August 25, 2015",83,5.7,EASports,"Sports,Team,Football,Sim",2,37,197,0,2015
RACE 07: Official WTCC Game,PC,"October 9, 2007",83,8.8,SimBin,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile",24  Online,22,195,0,2007
Freedom Planet,PC,"July 21, 2014",83,8.3,GalaxyTrail,"Action,Platformer,2D",No Online Multiplayer,7,136,0,2014
Dark Souls Remastered,Switch,"October 19, 2018",83,8,FromSoftware,"Role-Playing,Action RPG",Up to 6,51,260,0,2018
2010 FIFA World Cup South Africa,Xbox360,"April 27, 2010",83,8.2,ElectronicArts,"Sports,Traditional,Team,Soccer,Sim,Sim",Up to 8,61,60,0,2010
FIFA Soccer 10,PSP,"October 20, 2009",83,7.5,"EASports,HBStudiosMultimedia","Sports,Traditional,Team,Soccer,Sim,Sim",2,9,17,0,2009
Gravity Rush,PlayStationVita,"June 12, 2012",83,8.5,SCEJapanStudio,"Action,Action Adventure,Platformer,Platformer,Open-World,3D,3D",No Online Multiplayer,73,702,0,2012
Pokemon Omega Ruby,3DS,"November 21, 2014",83,7.4,GameFreak,"Role-Playing,Console-style RPG,Japanese-Style,Trainer",Up to 4,61,876,0,2014
Horizon Zero Dawn: The Frozen Wilds,PlayStation4,"November 7, 2017",83,7.9,Guerrilla,"Role-Playing,Action RPG",No Online Multiplayer,70,686,0,2017
Ninja Gaiden: Dragon Sword,DS,"March 25, 2008",83,7.8,TeamNinja,"Action Adventure,Fantasy,General,Fantasy",1 Player,52,38,0,2008
Rhythm Heaven Fever,Wii,"February 13, 2012",83,8.2,Nintendo,"Action,Miscellaneous,Rhythm,Music,Music",No info,56,79,0,2012
Ms. 'Splosion Man,Xbox360,"July 13, 2011",83,6.9,TwistedPixelGames,"Action,General,Platformer,Platformer,2D,2D",1 Player,62,34,0,2011
Detention,PlayStation4,"October 3, 2017",83,7.4,RedCandleGames,"Adventure,General",No Online Multiplayer,12,28,0,2017
SUPERHOT,PlayStation4,"July 21, 2017",83,7.4,SUPERHOT,"Action,Shooter,First-Person,Tactical",No info,14,60,0,2017
SUPERHOT,XboxOne,"May 3, 2016",83,7.8,SUPERHOT,"Modern,Action,Shooter,First-Person,Tactical",No info,18,96,0,2016
CastleStorm,WiiU,"December 26, 2013",83,7.8,ZenStudios,"Strategy,General",No info,8,38,0,2013
EverQuest II: Rise of Kunark,PC,"November 13, 2007",83,7.6,SonyOnlineEntertainment,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy",1 Player,9,16,0,2007
Ninja Gaiden Sigma 2,PlayStation3,"September 29, 2009",83,7.8,TeamNinja,"Action Adventure,Fantasy,General,Fantasy",2,52,150,0,2009
Dragon Quest Heroes: Rocket Slime,DS,"September 19, 2006",83,7.8,"SquareEnix,TOSE","Action Adventure,Fantasy,General,Fantasy,Open-World",No Online Multiplayer,41,52,0,2006
Sleeping Dogs,PlayStation3,"August 14, 2012",83,7.7,UnitedFrontGames,"Action Adventure,Modern,Modern,Open-World",No Online Multiplayer,40,709,0,2012
Contra 4,DS,"November 13, 2007",83,7.9,WayForward,"Action,Platformer,Platformer,2D,2D",No Online Multiplayer,38,54,0,2007
Street Fighter: 30th Anniversary Collection,PlayStation4,"May 29, 2018",83,7.1,"Capcom,DigitalEclipse","Miscellaneous,Compilation",2,26,68,0,2018
Rhythm Heaven,DS,"April 5, 2009",83,8.4,Nintendo,"Action,Miscellaneous,Rhythm,Music,Music",1 Player,48,83,0,2009
Collection of Mana,Switch,"June 11, 2019",83,8.2,M2,"Miscellaneous,Compilation",No Online Multiplayer,23,40,0,2019
Path of Exile: The Fall of Oriath,XboxOne,"August 24, 2017",83,7.5,GrindingGearGames,"Role-Playing,Action RPG",Up to 6,8,34,0,2017
The Legend of Heroes: Trails in the Sky the 3rd,PC,"May 3, 2017",83,8.1,Falcom,"Role-Playing,Japanese-Style",No Online Multiplayer,11,59,0,2017
SteamWorld Heist,PlayStation4,"June 7, 2016",83,7.2,Image&Form,"Strategy,Turn-Based,General",No info,9,45,0,2016
Dark Age of Camelot: Catacombs,PC,"December 7, 2004",83,7,MythicEntertainment,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy",Massively Multiplayer,9,12,0,2004
ABZU,PC,"August 2, 2016",83,6.9,GiantSquid,"Action Adventure,Adventure,General,3D,Third-Person",No Online Multiplayer,19,285,0,2016
The Messenger,PC,"August 30, 2018",83,7.7,SabotageStudio,"Action,Platformer,2D",No Online Multiplayer,12,129,0,2018
Nintendogs: Dalmatian & Friends,DS,"October 16, 2006",83,7.4,Nintendo,"Simulation,Miscellaneous,Virtual Life,Virtual Life,Virtual,Pet",1 Player,7,28,0,2006
Little Nightmares,XboxOne,"April 28, 2017",83,7.8,TarsierStudios,"Action Adventure,General,Linear",No info,22,62,0,2017
Stacking,PlayStation3,"February 8, 2011",83,7.7,DoubleFineProductions,"Miscellaneous,Puzzle,Action,Puzzle,Puzzle,Action",1 Player,44,56,0,2011
Overcooked! 2: Surf 'n' Turf,Switch,"October 3, 2018",83,8.4,GhostTownGamesLtd.,"Action,Arcade",No info,8,7,0,2018
Spore Creature Creator,PC,"June 17, 2008",83,7.7,"Maxis,EARedwoodShores","Strategy,Breeding/Constructing,General,Breeding/Constructing",No info,7,71,0,2008
Final Fantasy V Advance,GameBoyAdvance,"November 6, 2006",83,8.2,TOSE,"Role-Playing,Console-style RPG",1 Player,25,74,0,2006
James Bond 007: Everything or Nothing,Xbox,"February 17, 2004",83,7.5,EARedwoodShores,"Action,Shooter,Third-Person,Modern",1-2,51,29,0,2004
The Sims,PlayStation2,"January 12, 2003",83,7.6,EdgeofReality,"Miscellaneous,Virtual Life",1-2,33,53,0,2003
All-Star Baseball 2003,GameCube,"February 25, 2002",83,8,Acclaim,"Sports,Traditional,Baseball,Sim",1-4,16,6,0,2002
F1 2001,Xbox,"November 18, 2001",83,5,EASports,"Driving,Racing,Formula One",1-4,11,7,0,2001
Looney Tunes: Space Race,Dreamcast,"November 27, 2000",83,8.5,MelbourneHouse,"Driving,Racing,Kart",No info,14,11,0,2000
Tom Clancy's Splinter Cell: Conviction,PC,"April 27, 2010",83,5.5,UbisoftMontreal,"Action Adventure,Modern,General,Modern",No info,20,767,0,2010
Luftrausers,PlayStationVita,"March 18, 2014",83,7.4,Vlambeer,"Action,General,Shooter,Shoot-'Em-Up,Top-Down",No info,17,94,0,2014
And Yet It Moves,Wii,"August 23, 2010",83,7.7,BrokenRules,"Action,Platformer,Platformer,2D,2D",1 Player,26,20,0,2010
Tribes: Vengeance,PC,"October 12, 2004",83,7.7,IrrationalGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",32  Online,44,46,0,2004
Hitman: Absolution,PlayStation3,"November 20, 2012",83,7.6,IoInteractive,"Action Adventure,Modern,General,Modern",No Online Multiplayer,30,580,0,2012
Super Puzzle Fighter II Turbo HD Remix,Xbox360,"August 29, 2007",83,8,BackboneEntertainment,"Miscellaneous,Puzzle,Puzzle,Puzzle,Matching,Matching",1-4,20,16,0,2007
Hitman: Blood Money,PlayStation2,"May 30, 2006",83,8.6,IoInteractive,"Action Adventure,Modern",1 Player,36,140,0,2006
Kirby Mass Attack,DS,"September 19, 2011",83,8.1,HALLabs,"Action,Platformer,Platformer,2D,2D",No info,46,72,0,2011
Call of Duty: Black Ops II,PlayStation3,"November 13, 2012",83,5.7,Treyarch,"Action,Shooter,Shooter,First-Person,Historic,Modern,Modern,Arcade",Up to 18,21,1076,0,2012
Guitar Hero III: Legends of Rock,PlayStation3,"October 28, 2007",83,7.8,NeversoftEntertainment,"Action,Miscellaneous,Rhythm,Music,Music",2  Online,45,60,0,2007
